FID,month,year,lat,long,d15N,d13C,distMeters,nearLand,densityLar,densitySma,Ches,Del,Hud,LI,Nar,Bos
155,8,"2,001",43.00666667,-68.00833333,0,-23.8,110245.2,110283.64,3.00E-06,0,887552.06,741746.1,569875.77,444918.28,315628.64,252878.26
156,5,"2,001",40.53166667,-68.005,5.94,NA,183727.88,182678.53,1.80E-06,0,755855.92,632229.15,506534.09,404209.31,306233.82,318191.01
157,5,"2,003",40.44333333,-68,2.5,NA,188666.22,187701.04,1.60E-06,0,752999.13,630620.75,507340.6,406588.54,310865.12,324985.94
158,11,"2,004",41.51,-67.945,6,NA,166763.73,165445.3,3.30E-06,0,803656.13,668735.88,519983.16,403464.18,283915.88,265796.12
159,1,"2,002",41.735,-67.93,0,NA,166238.67,164912.17,3.50E-06,0,816402.43,679429.41,526343.58,407564.9,284650.38,258947.26
160,1,"2,002",41.735,-67.93,0,-22.5,166238.67,164912.17,3.50E-06,0,816402.43,679429.41,526343.58,407564.9,284650.38,258947.26
161,8,"2,001",42.68333333,-67.92666667,2.8,NA,143637.8,143857.55,3.20E-06,0,871940.29,728062.43,560272.65,435934.72,306406.67,251733.02
162,6,"2,001",43.04,-67.89,5.48,NA,113732.13,113674.56,2.60E-06,0,897475.9,751799.91,580107.74,455159.24,325844.6,263132.42
163,8,"2,001",40.50666667,-67.88166667,5,NA,194347.21,193203.51,1.50E-06,0,764710.17,641784.78,516980.63,414912.94,316823.3,327937.75
164,11,"2,004",42.89833333,-67.88166667,4.4,NA,126113.21,126150.03,2.80E-06,0,888721.94,743779.48,573655.86,448885.76,319348.26,259739.31
165,11,"2,002",41.53333333,-67.87,6.5,NA,172655.22,171281.48,3.10E-06,0,810378.97,675472.35,526567.58,409876.99,289961.63,270681.15
166,11,"2,003",40.765,-67.86166667,6,NA,185196.9,183844.49,1.90E-06,0,776189.47,649899.55,518439.56,412051.94,307593.9,311695.02
167,8,"2,004",41.715,-67.82,5.2,NA,175426.37,174019.57,3.10E-06,0,823366.69,686920.53,534702.58,416249.16,293690.28,268297.59
168,5,"2,004",40.35666667,-67.81683333,5.9,NA,206955.15,205897.68,1.10E-06,0,764597.56,643960.08,523294.64,423751.98,328990.66,342971.62
169,1,"2,002",41.44333333,-67.81,5.4,NA,179024.59,177616.24,2.80E-06,0,810375.33,676546.12,529721.53,414082.51,295642.99,278944.12
170,6,"2,004",41.91,-67.80833333,4,NA,177093.44,175721.89,3.10E-06,0,834608.32,696508.09,540810.85,420688.47,295774.96,264095.34
171,11,"2,001",40.38333333,-67.79333333,1.9,NA,207274.58,206165.87,1.00E-06,0,767392.15,646436.9,525074.85,425014.57,329434.84,342513.86
172,11,"2,003",42.38833333,-67.77666667,6,NA,178191.3,178539.01,3.00E-06,0,864085.28,722477.67,559340.18,436251.81,307682.3,261565.78
173,8,"2,003",43.26166667,-67.76333333,3.2,NA,104311.26,104483.79,1.90E-06,0,920515.58,774117.56,600778.45,475749.49,346906.98,280753.57
174,11,"2,001",41.25666667,-67.70333333,5.5,NA,189210.03,187586.95,2.20E-06,0,809555.61,677997.57,535527.48,422185.02,306977.41,295399.4
175,11,"2,001",41.25666667,-67.70333333,0,-26.3,189210.03,187586.95,2.20E-06,0,809555.61,677997.57,535527.48,422185.02,306977.41,295399.4
176,11,"2,000",40.47166667,-67.7,3.33,NA,209944.86,208658.8,1.00E-06,0,777922.75,655982.92,532392.09,430650.28,332357.02,342269.8
177,5,"2,003",41.555,-67.69333333,5.3,NA,187051.16,185546.97,2.50E-06,0,824552.66,689993.13,541393.03,424662.26,304449.58,283652.58
178,6,"2,001",44.23333333,-67.69,5.14,NA,22759.04,22798.77,5.00E-07,0,994172.4,844625.51,664516.3,540910.25,417129.86,339383.52
179,5,"2,003",43.09166667,-67.64666667,4.8,NA,124450.5,124206.59,1.80E-06,0,916801.3,771466.42,600296.12,475382.47,345993.87,283672.83
180,8,"2,004",42.365,-67.61666667,6.1,NA,187166.79,187429.79,2.50E-06,0,873845.67,732855.24,570792.51,448004.51,319715.02,274656.26
